id_cliente,nome,cognome,codice_fiscale,data_nascita,regione_residenza,comune_residenza,data_inizio_rapporto
195,Roberto,Pausini,GLLFLV54R41G202B,1960-08-18,Toscana,Livorno,2023-01-02
196,Telemaco,GINESE,PLNMRK04A59F209X,1971-06-04,Friuli-Venezia Giulia,Pordenone,2017-11-09
197,Irma,Pacetti,SMMTZN10C24H857F,1947-11-28,Marche,Macerata,2019-01-31
198,Vincentio,Lippomano,TRTBRR66R43C610A,1954-05-05,Trentino-Alto Adige,Merano,2026-02-16
199,Sabatino,Bosio,BRNMSM68A56E899O,2002-01-28,Sardegna,Cagliari,2016-12-27
200,Ubaldo,Scotto,PLCMRA37E46A354Y,1968-10-17,Friuli-Venezia Giulia,Trieste,2019-09-14
201,Griselda,Marenzio,BNGSLT74C59A519A,1949-04-27,Valle d'Aosta,Aosta,2023-08-28
202,Flavia,Maffei,LDVMLN10C17A782V,1976-07-06,Emilia-Romagna,Rimini,2023-06-02
203,Serafina,Lettiere,CHPHGU35E41H969H,1959-08-05,Lazio,Latina,2025-02-13
204,Costanzo,Druso,SBBLNI22E26H529Y,1951-08-29,Friuli-Venezia Giulia,Trieste,2022-09-01
205,Gianpietro,Spallanzani,TRNMND43B05G384L,1975-04-27,Umbria,Perugia,2025-10-29
206,Pina,Cossiga,PNTRST30S55H805Y,1959-02-04,Marche,Pesaro,2016-03-14
207,Etta,Desio,MRRNNR82E25I827C,1993-06-16,Abruzzo,Chieti,2020-12-13
208,Daniele,BERNARDI,SCRLLT60E16I025Q,1989-01-17,Liguria,Savona,2018-06-12
209,MARCELLA,Tutino,PRSTRS90L16C791Q,1962-11-30,Puglia,Foggia,2017-03-05
210,Ennio,Turchetta,MMNVIO57L62D414F,1972-08-31,Valle d'Aosta,Aosta,2023-12-01
211,Virgilio,Basadonna,TRCSLV45L20L920F,1961-08-03,Lazio,Frosinone,2023-04-28
212,Fernanda,Lattuada,JVNGFR12E61G266R,1968-08-19,Veneto,Treviso,2020-01-28
213,Ottone,Scalera,FRRNTL43S23B907S,1952-09-09,Abruzzo,Pescara,2022-09-17
214,Luca,Versace,LGHNTN01L04F644L,1979-09-24,Veneto,Verona,2024-05-22
215,Coluccio,Sabatini,GLLPPZ32D42A241D,1987-09-24,Marche,Ancona,2021-09-14
216,Donatella,Busoni,GGLRMN81B23M375L,1955-10-17,Toscana,Pisa,2025-01-26
217,Dante,Brichese,PNZSTN97S19I647I,1948-10-30,Puglia,Lecce,2024-06-30
218,Fiorino,Capuana,GRSGLN59S30A772E,1998-05-21,Puglia,Lecce,2020-10-13
219,Eugenia,Sanguineti,RNLLGU32C65A756L,1994-07-12,Valle d'Aosta,Courmayeur,2022-04-25
220,Guido,Blasi,PDRMRN07E71I748P,1955-02-05,Piemonte,Cuneo,2024-04-18
221,Giustino,Emanuelli,BNNSLS25R53B895P,1954-06-24,Sardegna,Cagliari,2017-04-07
222,Fabia,Stucchi,CLLLGO98L07G579B,1979-05-14,Calabria,Catanzaro,2025-11-21
223,Evangelista,Canali,GDNCLD04B43G140W,1999-08-10,Liguria,Savona,2024-01-04
224,LILLA,Gregori,NTNSTN19S61A013K,1969-02-04,Veneto,Treviso,2023-05-10
225,Angelo,Pennetta,CRBMRL50R41F545J,1953-10-24,Veneto,Treviso,2020-02-11
226,Isabella,Storladi,RROPTZ93B58C406I,1982-05-23,Puglia,Taranto,2017-01-01
227,Adamo,Pausini,CSSMCL42S50E310B,1950-01-16,Molise,Isernia,2026-07-23
228,Arsenio,Buonauro,DNSMSM10M65I260V,1996-01-08,Liguria,Savona,2015-08-26
229,Jacopo,Fioravanti,VSMNGN49S07D211N,1985-12-13,Valle d'Aosta,Aosta,2016-02-19
230,Ida,Pellico,LBNMLN10S15H898E,2002-01-03,Puglia,Foggia,2017-10-11
231,Franco,Cilibrasi,FRRLLR92R08F274Q,1997-08-26,Emilia-Romagna,Rimini,2022-11-05
232,Ottavio,Bocca,TRTVTR57A42D673D,1970-07-30,Basilicata,Potenza,2015-08-13
233,Arsenio,Moresi,PSCCRN27S22F621Y,2003-01-30,Sardegna,Cagliari,2020-01-19
234,Roman,Valguarnera,,1987-07-15,Piemonte,Torino,2017-12-19
235,Fiamma,Antonioni,BCCGCN89S45A149J,2002-08-31,Veneto,Vicenza,2021-03-05
236,Fedele,BENIGNI,CGNRLD78C67G333B,1972-02-09,Veneto,Treviso,2023-11-28
237,Azeglio,Canali,TMBRBT78D03I660B,1995-05-16,Sardegna,Sassari,2021-05-04
238,Gaspare,Redi,PGNMNL15S59F871Q,1974-03-04,Sardegna,Oristano,2021-03-18
239,Edoardo,Migliaccio,BCCRTI22H03B284W,1991-05-30,Friuli-Venezia Giulia,Trieste,2020-05-22
240,Guglielmo,Cipolla,DBSNPN70C55C591J,1973-09-03,Marche,Macerata,2018-02-20
241,Beatrice,Barzini,CLGSRN78L25B685V,1981-04-19,Veneto,Treviso,2023-09-16
242,Alderano,Spinola,LBNDLA22B23G975R,1964-12-13,Puglia,Taranto,2025-09-02
243,Carla,Loredan,SLVDNI26C61C885Y,1971-05-11,Basilicata,Potenza,2017-03-10
244,Valerio,Salieri,GVNFDC78T42G391K,2005-12-24,Umbria,Perugia,2022-07-12
245,Filippo,Tartaglia,MNNJLD53A18C513X,1974-09-22,Basilicata,Matera,2023-05-03
246,Fredo,Casadei,RNGLGO64D15I300C,1987-05-14,Toscana,Firenze,2019-05-13
247,Elena,Folliero,BRNFLV14C62L093L,1958-07-12,Friuli-Venezia Giulia,Trieste,2018-01-30
248,Salvatore,Tamburini,CRTSSN05A21D923R,1957-11-07,Calabria,Catanzaro,2022-02-04
249,IPPAZIO,Foscari,GRGMRA78M42B098T,1973-02-12,Friuli-Venezia Giulia,Trieste,2016-04-20
250,Lucia,Bernardi,CDUMLA62P04A722P,1988-12-03,Trentino-Alto Adige,Trento,2016-12-22
251,Virginia,Gibilisco,MDGPRI25T62L690I,1979-05-23,Emilia-Romagna,Rimini,2015-02-08
252,MANUEL,GIAMMUSSO,MDGFDC12D24E434R,1992-08-22,Piemonte,Alessandria,2019-04-11
253,Susanna,Filippini,GLPBNT60R56A544I,1972-12-31,Trentino-Alto Adige,Bolzano,2017-11-22
254,Veronica,Roccabonella,GGGRSL58C13E019H,1971-10-03,Valle d'Aosta,Aosta,2021-07-10
255,Durante,Satriani,FFRGRN25H05A321Y,1975-10-01,Emilia-Romagna,Modena,2025-12-29
256,Greca,Bianchini,CNCCSN59M54B825J,1946-09-19,Sicilia,Siracusa,2020-02-15
257,Maria,Munari,MLCRMN20S20L774Q,1956-01-19,Piemonte,Novara,2023-03-23
258,Fausto,Virgilio,BRGLCU66M28C307Y,1998-04-14,Lazio,Roma,2016-01-28
259,Camilla,Sforza,LGRLBT93L64L408A,1984-11-11,Abruzzo,L'Aquila,2023-07-13
260,Gioffre,Granatelli,RZZGNR75C70G159K,2001-07-20,Trentino-Alto Adige,Merano,2015-03-18
261,Viridiana,Agostini,BTTNNL60T65F433T,1982-07-30,Veneto,Padova,2017-05-09
262,Amico,Ravaglioli,SFFCRL57M48A850H,1962-10-28,Campania,Salerno,2019-06-25
263,Anita,Anastasi,GTADNL45E48G931P,1971-07-02,Liguria,La Spezia,2018-08-06
264,CARLO,Anichini,MRNRNT90M68G130D,1966-01-15,Sicilia,Messina,2015-01-23
265,Ludovica,Armani,SCRDRD90L46I503E,1958-05-20,Marche,Pesaro,2017-01-07
266,Sylvia,Paganini,BBABNT49T51F710Z,1965-09-27,Calabria,Cosenza,2025-03-30
267,Amedeo,Malenchini,JLNGCT87B60L492T,1948-07-16,Valle d'Aosta,Aosta,2021-07-08
